1: smoky54
0: smoky54
Now starting the main loop
 77:   49152 bytes    803 times -->   4519.76 Mbps in    82.9689 usec
 78:   49155 bytes    803 times -->   4490.52 Mbps in    83.5143 usec
 79:   65533 bytes    399 times -->   4888.16 Mbps in   102.2834 usec
 80:   65536 bytes    488 times -->   4885.71 Mbps in   102.3392 usec
 81:   65539 bytes    488 times -->   7162.45 Mbps in    69.8117 usec
 82:   98301 bytes    716 times -->   8196.48 Mbps in    91.5000 usec
 83:   98304 bytes    728 times -->   8199.36 Mbps in    91.4705 usec
 84:   98307 bytes    728 times -->   8027.65 Mbps in    93.4300 usec
 85:  131069 bytes    356 times -->   8528.88 Mbps in   117.2460 usec
 86:  131072 bytes    426 times -->   8538.00 Mbps in   117.1234 usec
 87:  131075 bytes    426 times -->   8349.68 Mbps in   119.7678 usec
 88:  196605 bytes    417 times -->   8736.56 Mbps in   171.6897 usec
 89:  196608 bytes    388 times -->   8736.18 Mbps in   171.6998 usec
 90:  196611 bytes    388 times -->   8650.88 Mbps in   173.3954 usec
 91:  262141 bytes    192 times -->   8922.44 Mbps in   224.1513 usec
 92:  262144 bytes    223 times -->   8915.82 Mbps in   224.3203 usec
 93:  262147 bytes    222 times -->   8855.30 Mbps in   225.8560 usec
 94:  393213 bytes    221 times -->   9155.57 Mbps in   327.6670 usec
 95:  393216 bytes    203 times -->   9156.44 Mbps in   327.6382 usec
 96:  393219 bytes    203 times -->   9116.90 Mbps in   329.0617 usec
 97:  524285 bytes    101 times -->   9288.15 Mbps in   430.6536 usec
 98:  524288 bytes    116 times -->   9286.41 Mbps in   430.7371 usec
 99:  524291 bytes    116 times -->   9262.64 Mbps in   431.8449 usec
100:  786429 bytes    115 times -->   9461.68 Mbps in   634.1343 usec
101:  786432 bytes    105 times -->   9413.58 Mbps in   637.3769 usec
102:  786435 bytes    104 times -->   9428.80 Mbps in   636.3507 usec
103: 1048573 bytes     52 times -->   9549.12 Mbps in   837.7708 usec
104: 1048576 bytes     59 times -->   9556.67 Mbps in   837.1119 usec
105: 1048579 bytes     59 times -->   9490.79 Mbps in   842.9248 usec
106: 1572861 bytes     59 times -->   9637.82 Mbps in  1245.0925 usec
107: 1572864 bytes     53 times -->   9644.83 Mbps in  1244.1896 usec
108: 1572867 bytes     53 times -->   9629.31 Mbps in  1246.1982 usec
109: 2097149 bytes     26 times -->   9679.94 Mbps in  1652.9010 usec
110: 2097152 bytes     30 times -->   9677.51 Mbps in  1653.3176 usec
111: 2097155 bytes     30 times -->   9663.59 Mbps in  1655.7018 usec
