0 1279.55555555556 131.184498127712
1 1360.61111111111 132.947656388306
2 1450.72222222222 152.63880429027
3 1531.27777777778 159.147617174394
4 1690.33333333333 174.057799730603
5 1726.05555555556 177.660660973431
6 1833.38888888889 187.544722335279
7 1839.27777777778 188.469038389261
9 2231.44444444444 230.020885667231
10 2361.88888888889 241.914666530066
11 2342.44444444444 236.961512001284
12 2561.66666666667 257.436152373787
13 2623.55555555556 265.343112441724
14 2728.5 279.246096396962
15 2783 282.702296126675
